,0,1,2,3,4,5
504,6776,2266,1172,1659,1480,3993
505,6127,2119,1090,1531,1363,3687
506,5898,2130,1074,1498,1319,3575
507,5788,2146,1058,1478,1319,3541
508,5676,2139,1078,1472,1325,3516
509,5851,2207,1115,1545,1402,3650
510,6031,2366,1177,1641,1504,3855
511,6475,2555,1258,1780,1680,4165
512,6784,2648,1292,1870,1722,4299
513,7389,2813,1356,1999,1804,4591
514,7744,2903,1428,2082,1833,4723
515,8407,2996,1483,2174,1889,5056
516,9057,3088,1545,2284,1964,5362
517,9122,3011,1499,2251,1966,5336
518,9443,2979,1499,2263,2024,5421
519,9604,3027,1475,2286,2037,5459
520,9897,3130,1508,2354,1922,5689
521,9383,3193,1541,2324,1989,5504
522,10834,3508,1723,2653,2276,6415
523,10653,3474,1696,2637,2239,6376
524,10267,3306,1626,2511,2166,5996
525,9658,3130,1559,2350,2040,5671
526,8778,2843,1420,2129,1839,5133
527,7735,2463,1243,1848,1635,4552
528,5976,2097,1054,1513,1365,3597
529,5534,1992,992,1435,1285,3311
530,5333,1933,969,1392,1250,3182
531,5276,1927,947,1380,1230,3153
532,5267,1950,970,1394,1250,3162
533,5772,2125,1056,1525,1354,3455
534,7373,2601,1279,1926,1651,4427
535,9795,3286,1618,2547,2038,5752
536,10232,3417,1682,2639,2116,6014
537,10173,3405,1674,2613,2102,5945
538,9823,3300,1650,2545,2112,5721
539,10179,3351,1689,2608,2144,5975
540,10509,3446,1693,2660,2179,6176
541,10466,3374,1622,2598,2124,6116
542,10710,3292,1594,2609,2083,6223
543,11652,3388,1683,2757,2202,6710
544,12752,3690,1824,3013,2289,7269
545,13830,3996,1979,3244,2533,7889
546,13658,4008,1963,3248,2601,7786
547,11904,3639,1772,2925,2429,6888
548,11246,3404,1695,2775,2308,6558
549,8877,2772,1394,2135,1940,5203
550,7689,2407,1247,1835,1731,4453
551,6884,2138,1103,1636,1510,3952
552,6038,1930,991,1465,1337,3405
553,5518,1835,939,1364,1243,3108
554,5225,1780,893,1308,1195,2947
555,5102,1783,884,1303,1170,2889
556,4957,1789,904,1290,1177,2835
557,5386,1962,984,1420,1253,3080
558,6473,2375,1180,1750,1494,3754
559,8469,2955,1454,2221,1820,4877
560,8980,3064,1525,2359,1950,5129
561,9127,3079,1537,2345,1944,5137
562,8931,3030,1533,2293,1955,4986
563,9219,3091,1551,2366,2017,5142
564,9525,3069,1557,2394,2034,5288
565,9521,2963,1486,2343,1935,5187
566,9780,2905,1479,2366,1885,5252
567,10729,3247,1587,2607,2005,5681
568,11668,3511,1711,2817,2217,6198
569,12732,3838,1884,3107,2390,6750
570,12459,3889,1874,3062,2410,6716
571,10723,3287,1621,2618,2270,5966
572,10077,3138,1557,2503,2114,5727
573,8573,2710,1338,2068,1873,4903
574,7627,2340,1193,1844,1677,4378
575,6916,2086,1071,1616,1480,3925
576,5895,1928,975,1460,1320,3364
577,5373,1796,925,1349,1203,3061
578,5098,1741,898,1297,1151,2920
579,4984,1735,886,1285,1144,2884
580,4879,1755,906,1283,1145,2838
581,5324,1909,992,1410,1259,3126
582,6570,2326,1171,1751,1534,3963
583,8804,2925,1460,2268,1901,5224
584,9430,3051,1546,2375,1969,5511
585,9415,3017,1551,2396,1968,5430
586,9172,3032,1555,2365,1933,5241
