,0,1,2,3,4,5
445,10550,3463,1800,2736,2182,6108
446,10729,3445,1798,2756,2169,6088
447,11532,3564,1862,2911,2239,6448
448,12565,3919,2053,3196,2422,7097
449,13609,4299,2207,3476,2669,7749
450,13686,4303,2204,3512,2776,7776
451,12280,3975,1993,3196,2626,7156
452,11845,3827,1913,3040,2512,6940
453,8916,2999,1527,2315,2091,5276
454,7739,2664,1394,1995,1865,4634
455,7065,2406,1263,1816,1668,4231
456,6494,2186,1162,1654,1567,3990
457,6054,2078,1091,1554,1462,3715
458,5796,2011,1058,1504,1391,3557
459,5690,2010,1042,1490,1363,3490
460,5652,2031,1061,1501,1357,3492
461,6103,2170,1122,1607,1450,3750
462,7621,2600,1328,1988,1702,4653
463,10132,3241,1678,2601,2095,6001
464,10575,3410,1759,2731,2214,6296
465,10376,3462,1756,2677,2211,6176
466,9918,3406,1738,2614,2158,5905
467,10217,3495,1762,2636,2175,6033
468,10457,3542,1789,2698,2251,6104
469,10313,3435,1737,2612,2302,6005
470,10519,3366,1694,2757,2251,6045
471,11460,3815,1840,2886,2295,6515
472,12464,4095,1982,3131,2472,7088
473,13391,4370,2154,3377,2692,7709
474,13485,4314,2117,3416,2786,7896
475,12007,4016,1951,3103,2660,7165
476,11536,3823,1891,2955,2523,6791
477,8743,2801,1443,2163,2103,5225
478,7534,2521,1298,1914,1905,4616
479,7019,2289,1206,1741,1673,4311
480,6633,2204,1170,1651,1476,4036
481,6034,2078,1092,1519,1370,3681
482,5854,2094,1098,1493,1364,3571
483,5723,2115,1101,1483,1364,3515
484,5673,2175,1149,1492,1390,3517
485,5973,2324,1227,1585,1478,3710
486,6357,2544,1318,1713,1598,3960
487,6860,2802,1459,1885,1768,4329
488,7306,2959,1519,2045,1907,4590
489,7952,3215,1647,2231,2071,4979
490,8339,3368,1758,2336,2127,5248
491,9111,3519,1808,2473,2268,5699
492,9886,3627,1900,2619,2358,6115
493,10018,3603,1883,2598,2332,6146
494,10185,3601,1868,2614,2352,6275
495,10145,3590,1846,2609,2280,6182
496,10133,3392,1673,2559,2153,6200
497,9678,3433,1690,2547,2242,5975
498,10969,3774,1910,2855,2531,6731
499,10901,3785,1925,2855,2554,6702
500,10246,3585,1862,2702,2441,6291
501,9697,3458,1802,2592,2330,5976
502,8981,3246,1707,2389,2176,5527
503,8086,2897,1558,2126,1904,4981
504,6955,2618,1392,1853,1700,4281
505,6321,2480,1323,1725,1593,3982
506,6106,2498,1315,1693,1558,3879
507,6016,2544,1312,1682,1559,3864
508,5925,2555,1352,1687,1572,3845
509,6111,2648,1408,1771,1655,3991
510,6299,2833,1484,1883,1768,4213
511,6754,3020,1569,2026,1952,4530
512,7071,3127,1617,2123,2010,4664
513,7687,3308,1690,2259,2114,4963
514,8057,3423,1779,2356,2175,5105
515,8733,3533,1850,2462,2254,5459
516,9405,3658,1943,2591,2361,5770
517,9478,3603,1912,2558,2401,5746
518,9799,3573,1905,2560,2469,5809
519,9937,3608,1858,2566,2467,5807
520,10025,3370,1641,2442,2346,5800
521,9538,3462,1692,2430,2401,5639
522,11005,3799,1892,2777,2668,6581
523,10845,3797,1885,2779,2623,6572
524,10470,3645,1835,2675,2527,6226
525,9900,3528,1816,2548,2413,5939
526,9045,3295,1714,2355,2231,5425
527,8027,2953,1568,2096,2040,4869
528,6284,2623,1401,1777,1775,3937
529,5861,2547,1356,1714,1704,3660
530,5674,2521,1355,1686,1682,3546
531,5634,2544,1345,1691,1685,3536
532,5642,2583,1395,1719,1718,3556
533,6155,2760,1481,1855,1825,3845
534,7757,3254,1710,2277,2133,4822
535,10177,3913,2040,2925,2539,6157
536,10613,4055,2110,3031,2599,6427
537,10558,4034,2101,3001,2589,6364
538,10202,3926,2075,2925,2602,6140
539,10552,3963,2101,2983,2623,6394
540,10856,4039,2092,3000,2654,6556
541,10792,3947,2000,2907,2572,6469
542,11008,3821,1938,2887,2496,6541
543,11911,3866,1970,3000,2569,7005
544,12964,4095,2049,3237,2641,7549
545,14033,4379,2208,3462,2865,8161
546,13864,4381,2197,3460,2925,8068
547,12118,4025,1999,3138,2760,7178
548,11473,3811,1944,3002,2646,6864
549,9124,3208,1671,2382,2301,5533
550,7953,2885,1567,2095,2128,4804
551,7169,2643,1435,1905,1924,4308
552,6336,2456,1338,1745,1778,3771
553,5820,2368,1292,1645,1686,3471
554,5536,2322,1253,1601,1641,3312
555,5419,2331,1235,1597,1618,3256
556,5284,2344,1267,1578,1629,3203
557,5726,2528,1354,1705,1719,3459
558,6822,2957,1553,2029,1952,4136
559,8833,3541,1838,2512,2304,5280
560,9351,3657,1913,2657,2426,5536
561,9509,3685,1935,2648,2436,5551
562,9324,3652,1946,2607,2454,5403
563,9613,3714,1973,2687,2522,5565
564,9927,3712,1997,2718,2573,5713
565,9920,3621,1929,2663,2490,5593
566,10178,3561,1907,2687,2429,5657
567,11010,3665,1928,2809,2465,6045
568,11948,3963,2047,3030,2611,6559
569,13001,4262,2214,3316,2783,7100
570,12715,4272,2197,3268,2803,7056
571,10964,3857,1970,2892,2620,6294
572,10392,3672,1888,2776,2548,6054
573,8895,3258,1686,2362,2321,5238
574,7956,2912,1566,2155,2137,4737
575,7252,2666,1448,1931,1971,4295
576,6209,2495,1344,1763,1765,3728
577,5673,2344,1276,1634,1625,3412
578,5392,2277,1241,1576,1563,3268
579,5273,2256,1211,1551,1538,3234
580,5161,2268,1234,1538,1525,3182
581,5596,2399,1310,1661,1605,3449
582,6831,2809,1473,1991,1859,4271
583,9049,3354,1736,2487,2205,5502
584,9660,3455,1805,2572,2252,5753
585,9608,3354,1765,2566,2225,5642
586,9326,3319,1727,2510,2162,5419
587,9562,3347,1754,2563,2185,5532
588,9837,3377,1758,2628,2193,5567
589,9772,3288,1696,2564,2107,5402
590,10027,3209,1672,2575,2045,5449
591,10836,3357,1704,2703,2284,5846
592,11841,3439,1748,2864,2262,6234
593,12765,3792,1896,3107,2544,6766
594,12787,3879,1903,3152,2651,6922
595,11105,3552,1741,2834,2529,6225
596,10495,3401,1653,2687,2408,5951
597,8411,2899,1419,2191,1932,4834
598,7402,2567,1295,1932,1714,4286
599,6660,2304,1199,1747,1556,3862
600,5840,2134,1113,1576,1440,3417
601,5380,2023,1054,1484,1378,3163
602,5134,1999,1034,1437,1356,3043
