1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0.134,0.008,0.014,0.014,0.134,0.134,0.134,0.134,0.134,0.025,0.039,0.039,0.039,0.039,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.315,0.201,0.201,0.201,0.201,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.026,0.156,0.156,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.015,0.015,0.015,0.015,0.015,0.06,0.06,0.06,0.0,0.02,0.02,0.02,0.02
0.158,0.022,0.047,0.047,0.158,0.158,0.158,0.158,0.158,0.011,0.055,0.055,0.055,0.055,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.345,0.242,0.242,0.242,0.242,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.141,0.141,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.016,0.016,0.016,0.016,0.016,0.086,0.086,0.086,0.02,0.009,0.009,0.009,0.009
0.163,0.007,0.033,0.033,0.163,0.163,0.163,0.163,0.163,0.0,0.168,0.168,0.168,0.168,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.359,0.348,0.348,0.348,0.348,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.193,0.193,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.121,0.007,0.007,0.007,0.007,0.007,0.145,0.145,0.145,0.108,0.007,0.007,0.007,0.007
0.015,0.016,0.0,0.0,0.015,0.015,0.015,0.015,0.015,0.053,0.266,0.266,0.266,0.266,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.336,0.299,0.299,0.299,0.299,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.343,0.343,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.03,0.03,0.03,0.03,0.03,0.329,0.329,0.329,0.193,0.081,0.081,0.081,0.081
0.0,0.093,0.029,0.029,0.0,0.0,0.0,0.0,0.0,0.048,0.371,0.371,0.371,0.371,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.324,0.258,0.258,0.258,0.258,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.112,0.399,0.399,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.047,0.047,0.047,0.047,0.047,0.497,0.497,0.497,0.18,0.056,0.056,0.056,0.056
0.014,0.028,0.04,0.04,0.014,0.014,0.014,0.014,0.014,0.016,0.513,0.513,0.513,0.513,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.345,0.345,0.345,0.345,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.126,0.121,0.121,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.141,0.037,0.037,0.037,0.037,0.037,0.558,0.558,0.558,0.4,0.116,0.116,0.116,0.116
0.055,0.043,0.072,0.072,0.055,0.055,0.055,0.055,0.055,0.023,0.539,0.539,0.539,0.539,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.317,0.181,0.181,0.181,0.181,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.205,0.205,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.061,0.063,0.063,0.063,0.063,0.063,0.52,0.52,0.52,0.603,0.147,0.147,0.147,0.147
0.083,0.009,0.116,0.116,0.083,0.083,0.083,0.083,0.083,0.049,0.6,0.6,0.6,0.6,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.314,0.285,0.285,0.285,0.285,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.223,0.166,0.166,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.057,0.071,0.071,0.071,0.071,0.071,0.53,0.53,0.53,0.713,0.129,0.129,0.129,0.129
0.151,0.052,0.109,0.109,0.151,0.151,0.151,0.151,0.151,0.063,0.697,0.697,0.697,0.697,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.268,0.387,0.387,0.387,0.387,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.157,0.157,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.076,0.088,0.088,0.088,0.088,0.088,0.709,0.709,0.709,0.771,0.112,0.112,0.112,0.112
0.254,0.159,0.217,0.217,0.254,0.254,0.254,0.254,0.254,0.183,0.785,0.785,0.785,0.785,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.264,0.115,0.115,0.115,0.115,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.304,0.297,0.297,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.192,0.194,0.194,0.194,0.194,0.194,0.803,0.803,0.803,0.779,0.3,0.3,0.3,0.3
